高雄市,Ⅲ-01,太爺,345,200,120.2264725,22.9104819,台1線,南高縣市界,岡山,344,452,359,19,平原區,14.6,34.2,北,3.7,3.7,3.5,,,2.6,,2.1,10805,35,345,2,113,11565,22865,19817,333829,2374,7,8,0.51,
高雄市,Ⅲ-01,太爺,345,200,120.2264725,22.9104819,台1線,南高縣市界,岡山,344,452,359,19,平原區,14.6,34.2,南,3.7,3.7,3.5,,,2.6,,2.1,10761,30,295,3,142,11105,22336,19458,326106,2454,7,8,0.51,
高雄市,Ⅲ-02,青埔橋,366,800,120.3171321,22.74251577,台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,北,3.5,3.5,3.5,,,4.3,,0.9,10182,37,353,5,181,11861,22619,19629,275952,2606,7,8,0.54,
高雄市,Ⅲ-02,青埔橋,366,800,120.3171321,22.74251577,台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,南,3.5,3.5,3.5,,,4.3,,0.9,9064,46,266,9,285,11687,21357,18595,260555,2201,17,18,0.54,
高雄市,Ⅲ-03,八卦寮,372,100,120.3226134,22.6978182,台1線,仁武,鳳山,371,267,383,309,平原區,12,25.6,北,3.4,3.2,,,,2.5,2.3,0.8,16026,225,994,8,206,29949,47408,39461,568896,5876,7,8,0.51,
高雄市,Ⅲ-03,八卦寮,372,100,120.3226134,22.6978182,台1線,仁武,鳳山,371,267,383,309,平原區,12,25.6,南,3.4,3.6,,,,2.5,2.3,0.8,15597,278,964,7,188,32045,49079,40477,588948,5571,17,18,0.51,
高雄市,Ⅲ-04,大智橋,384,100,120.3675867,22.6343168,台1線,鳳山,後庄,383,309,385,923,平原區,2.6,16.2,北,3,2.8,,,,1.8,,0.3,15483,49,850,7,73,19712,36174,30870,94052,3237,7,8,0.51,
高雄市,Ⅲ-04,大智橋,384,100,120.3675867,22.6343168,台1線,鳳山,後庄,383,309,385,923,平原區,2.6,16.2,南,2.6,2.8,,,,2,,0.4,15685,53,873,13,78,20027,36729,31367,95495,3382,7,8,0.51,
高雄市,Ⅲ-05,高屏大橋,390,500,120.4267292,22.64459855,台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,30.1,北,3.7,3.7,3.8,,,3.3,,0.2,22251,90,1538,23,626,15376,39904,37403,267357,4565,7,8,0.54,"快慢分隔,1車道"
高雄市,Ⅲ-05,高屏大橋,390,500,120.4267292,22.64459855,台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,30.1,南,3.6,3.7,3.6,,,3.3,,0.2,21767,77,1561,24,582,15801,39812,37104,266740,3830,17,18,0.54,"快慢分隔,1車道"
屏東縣,Ⅲ-06,西屏東,394,200,120.4602563,22.65344499,台1線,高屏大橋,頭前溪,392,646,394,603,平原區,2,33.2,北,3.5,3.5,3.5,,,2,,2.5,18755,43,515,14,218,11290,30835,28192,61670,3223,7,8,0.55,
屏東縣,Ⅲ-06,西屏東,394,200,120.4602563,22.65344499,台1線,高屏大橋,頭前溪,392,646,394,603,平原區,2,33.2,南,3.5,3.5,3.5,,,2,,2.5,18297,38,522,17,213,12328,31415,28457,62830,2595,17,18,0.55,
屏東縣,Ⅲ-07,牛稠溪橋,395,950,120.4768463,22.65327127,台1線,頭前溪,國立商專,394,603,399,503,平原區,4.9,24.2,北,3.5,3.5,,,,2,,1.8,8501,19,309,5,134,6839,15807,14198,77454,1420,7,8,0.51,
屏東縣,Ⅲ-07,牛稠溪橋,395,950,120.4768463,22.65327127,台1線,頭前溪,國立商專,394,603,399,503,平原區,4.9,24.2,南,3.5,3.5,,,,2,,1.8,8056,24,334,9,152,6691,15266,13760,74803,1376,17,18,0.51,
屏東縣,Ⅲ-08,豐田招呼站,404,300,120.542944,22.63256923,台1線,國立商專,內埔,399,503,406,292,平原區,6.8,21.2,北,3.5,3.5,,,,2,,1.2,11688,122,327,3,93,8057,20290,18290,137972,2346,7,8,0.58,
屏東縣,Ⅲ-08,豐田招呼站,404,300,120.542944,22.63256923,台1線,國立商專,內埔,399,503,406,292,平原區,6.8,21.2,南,3.5,3.5,,,,2,,1.2,11503,115,315,2,78,8167,20180,18106,137224,1731,17,18,0.58,
屏東縣,Ⅲ-09,新美和護專,408,200,120.5607922,22.60423232,台1線,內埔,美和護專,406,292,408,804,平原區,2.5,20.2,北,3.5,3.5,,,,1.8,,0.8,3998,24,150,0,58,2756,6986,6362,17465,795,7,8,0.56,
屏東縣,Ⅲ-09,新美和護專,408,200,120.5607922,22.60423232,台1線,內埔,美和護專,406,292,408,804,平原區,2.5,20.2,南,3.5,3.5,,,,1.8,,0.8,3682,29,114,0,44,2788,6657,5981,16642,624,7,8,0.56,
屏東縣,Ⅲ-10,竹田招呼站,411,500,120.5460035,22.57787069,台1線,美和護專,潮州,408,804,413,414,平原區,4.6,20.7,北,3.4,3.3,,,,1.8,,0.9,7353,40,219,0,60,4352,12024,10968,55310,1060,7,8,0.51,
屏東縣,Ⅲ-10,竹田招呼站,411,500,120.5460035,22.57787069,台1線,美和護專,潮州,408,804,413,414,平原區,4.6,20.7,南,3.3,3.2,,,,1.8,,0.9,7537,56,195,0,53,4327,12168,11102,55973,1105,7,8,0.51,
屏東縣,Ⅲ-11,中油加油站,415,600,120.5551827,22.54718131,台1線,潮州,潮農倉庫,413,414,418,103,平原區,4.7,21.4,北,3.5,3.5,,,,2.3,,0.5,5277,18,183,0,84,1823,7385,7107,34709,726,16,17,0.5,
屏東縣,Ⅲ-11,中油加油站,415,600,120.5551827,22.54718131,台1線,潮州,潮農倉庫,413,414,418,103,平原區,4.7,21.4,南,3.5,3.5,,,,2.3,,0.5,4883,10,175,1,75,1700,6844,6579,32167,715,17,18,0.5,
屏東縣,Ⅲ-12,武丁招呼站,419,500,120.5314176,22.52479128,台1線,潮農倉庫,新埤,418,103,425,433,平原區,7.3,21.2,北,3.5,3.5,,,,2.3,,0.4,4514,24,160,0,89,2210,6997,6604,51078,706,7,8,0.51,
屏東縣,Ⅲ-12,武丁招呼站,419,500,120.5314176,22.52479128,台1線,潮農倉庫,新埤,418,103,425,433,平原區,7.3,21.2,南,3.5,3.5,,,,2.3,,0.4,4597,34,167,0,94,2543,7435,6961,54276,688,11,12,0.51,
屏東縣,Ⅲ-13,新埤大橋北,426,600,120.5496897,22.46346002,台1線,新埤,水底寮,425,433,435,942,平原區,10.5,23.4,北,3.5,3.5,,,,1.8,,1.2,13901,71,554,9,600,2712,17847,18564,187394,2136,16,17,0.54,
屏東縣,Ⅲ-13,新埤大橋北,426,600,120.5496897,22.46346002,台1線,新埤,水底寮,425,433,435,942,平原區,10.5,23.4,南,3.5,3.5,,,,1.8,,1.2,13620,120,525,7,635,2868,17775,18522,186638,1811,7,8,0.54,
屏東縣,Ⅲ-14,水底寮,437,0,120.5957307,22.38297903,台1線,水底寮,枋寮,435,942,437,0,平原區,1.1,24.4,北,3.5,3.5,,,,2.2,,2.8,13303,166,409,1,288,2517,16684,16795,18352,2118,16,17,0.52,
屏東縣,Ⅲ-14,水底寮,437,0,120.5957307,22.38297903,台1線,水底寮,枋寮,435,942,437,0,平原區,1.1,24.4,南,3.5,3.5,3.5,,,,,1.1,13783,158,386,1,295,2695,17318,17104,19050,1938,11,12,0.52,
屏東縣,Ⅲ-15,博愛橋,438,300,120.6025196,22.37321705,台1線,枋寮,枋山,437,0,453,693,平原區,16.7,23.2,北,3.5,3.5,,,,2.5,,2,10720,108,344,1,277,1294,12744,13138,212825,1928,17,18,0.51,
屏東縣,Ⅲ-15,博愛橋,438,300,120.6025196,22.37321705,台1線,枋寮,枋山,437,0,453,693,平原區,16.7,23.2,南,3.5,3.5,,,,2.2,,0.3,10873,93,309,1,283,1253,12812,13206,213960,2000,11,12,0.51,
屏東縣,Ⅲ-16,楓港加油站,460,200,120.6883537,22.20194589,台1線,枋山,楓港,453,693,460,600,平原區,6.9,26,北,3.5,3.5,3.5,,,,,1.6,7467,127,129,1,53,709,8486,8439,58553,1849,14,15,0.55,
屏東縣,Ⅲ-16,楓港加油站,460,200,120.6883537,22.20194589,台1線,枋山,楓港,453,693,460,600,平原區,6.9,26,南,3.5,3.5,,,,2,,1.9,7491,96,129,1,59,703,8479,8501,58505,1534,14,15,0.55,
高雄市,Ⅲ-17,鳳山,4,400,120.3508711,22.62730081,台1戊線,高雄市市界,鳳山,3,240,6,506,平原區,3.3,16,北,3.4,3.5,,,,,,1,6509,37,26,0,0,13396,19968,14642,65894,1308,17,18,0.52,
高雄市,Ⅲ-17,鳳山,4,400,120.3508711,22.62730081,台1戊線,高雄市市界,鳳山,3,240,6,506,平原區,3.3,16,南,3.4,3.5,,,,,,1,5376,47,32,0,0,12405,17860,12938,58938,1224,7,8,0.52,
高雄市,Ⅲ-18,前庄,8,100,120.3841758,22.63046205,台1戊線,鳳山,後庄,6,506,8,528,平原區,2,22.4,北,3.5,3.5,,,,2.2,,2,10498,31,274,3,183,10302,21291,18725,42582,1962,17,18,0.56,
高雄市,Ⅲ-18,前庄,8,100,120.3841758,22.63046205,台1戊線,鳳山,後庄,6,506,8,528,平原區,2,22.4,南,3.5,3.5,,,,2.2,,1.8,10853,40,299,0,136,11065,22393,19516,44786,2492,7,8,0.56,
高雄市,Ⅲ-19,火燒庄,393,100,120.467158,22.96937257,台3線,南高縣市界,內門,389,787,396,459,丘陵區,6.7,15.6,北,3.5,3.5,,,,,,0.7,1363,14,66,0,62,425,1930,2088,12931,314,10,11,0.52,
高雄市,Ⅲ-19,火燒庄,393,100,120.467158,22.96937257,台3線,南高縣市界,內門,389,787,396,459,丘陵區,6.7,15.6,南,3.5,3.5,,,,,,0.7,1383,7,42,0,45,417,1894,1956,12690,339,15,16,0.52,
高雄市,Ⅲ-20,嶺頂,405,400,120.4855081,22.88607198,台3線,內門,旗山,396,459,406,228,丘陵區,9.8,18.2,北,3.5,3.5,,,,,,2,8257,66,208,0,177,2574,11282,11234,110564,1052,7,8,0.5,
高雄市,Ⅲ-20,嶺頂,405,400,120.4855081,22.88607198,台3線,內門,旗山,396,459,406,228,丘陵區,9.8,18.2,南,3.5,3.5,,,,,,2,7839,56,186,0,125,2563,10769,10486,105536,1033,14,15,0.5,
高雄市,Ⅲ-21,旗南橋,408,850,120.4978612,22.867962,台3線,旗山,高屏市縣界,406,228,412,926,平原區,6.7,25.5,北,3.6,3.6,,,,2.1,,2.3,2947,7,103,0,144,1127,4328,4334,28998,458,7,8,0.54,
高雄市,Ⅲ-21,旗南橋,408,850,120.4978612,22.867962,台3線,旗山,高屏市縣界,406,228,412,926,平原區,6.7,25.5,南,3.6,3.6,,,,2.1,,2.3,2777,8,117,1,74,1237,4214,4056,28234,388,17,18,0.54,
屏東縣,Ⅲ-22,里港大橋南,418,600,120.5001786,22.78019198,台3線,高屏市縣界,里港,412,926,419,937,平原區,7,23.2,北,3.5,3.5,,,,2,,1,4126,21,162,2,613,1337,6261,7182,43827,775,10,11,0.5,
屏東縣,Ⅲ-22,里港大橋南,418,600,120.5001786,22.78019198,台3線,高屏市縣界,里港,412,926,419,937,平原區,7,23.2,南,3.5,3.5,,,,2,,1,3993,24,181,2,836,1232,6268,7677,43876,764,17,18,0.5,
屏東縣,Ⅲ-23,九如鄉公所,423,200,120.4900911,22.74144252,台3線,里港,九如,419,937,427,419,平原區,7.5,24.8,北,3.5,3.5,,,,2.2,,2,9545,88,444,7,278,2532,12894,12970,96705,1207,7,8,0.52,
屏東縣,Ⅲ-23,九如鄉公所,423,200,120.4900911,22.74144252,台3線,里港,九如,419,937,427,419,平原區,7.5,24.8,南,3.5,3.5,,,,2.2,,2,9838,68,473,16,268,2183,12846,13030,96345,1125,17,18,0.52,
屏東縣,Ⅲ-24,西市場,433,600,120.4781616,22.67361499,台3線,九如,屏東市,427,419,434,962,平原區,7.5,20,北,3.6,5,,,,,,0.6,8760,28,120,0,2,10948,19858,15557,148935,1416,17,18,0.51,
屏東縣,Ⅲ-24,西市場,433,600,120.4781616,22.67361499,台3線,九如,屏東市,427,419,434,962,平原區,7.5,20,南,3.6,4,,,,,,0.2,8299,28,108,0,4,9649,18088,14304,135660,1475,7,8,0.51,
屏東縣,Ⅲ-25,大武營區,434,800,120.47483,22.66522579,台3線,屏東市,頭前溪,434,962,436,809,平原區,1.8,15.8,北,3.5,3.5,,,,,,0.8,9860,32,178,0,12,7196,17278,14529,31100,1480,17,18,0.54,
屏東縣,Ⅲ-25,大武營區,434,800,120.47483,22.66522579,台3線,屏東市,頭前溪,434,962,436,809,平原區,1.8,15.8,南,3.5,3.5,,,,,,0.8,8943,31,150,0,9,5292,14425,12417,25965,1260,7,8,0.54,
臺東縣,Ⅲ-26,關山鎮,316,400,121.167287,23.05635264,台9線,花東縣界,武陵,304,246,329,246,丘陵區,25,12.4,北,3.6,,,,,2.1,,0.6,3868,40,149,0,109,933,5099,5447,127475,490,13,14,0.5,
臺東縣,Ⅲ-26,關山鎮,316,400,121.167287,23.05635264,台9線,花東縣界,武陵,304,246,329,246,丘陵區,25,12.4,南,3.6,,,,,2.1,,0.4,4023,34,159,0,120,930,5266,5667,131650,495,13,14,0.5,
臺東縣,Ⅲ-27,永隆村,330,900,121.1428605,22.93850329,台9線,武陵,鹿野,329,246,339,940,丘陵區,10.7,12,北,3.4,,,,,2,,0.5,2035,33,115,0,126,314,2623,3266,28066,236,16,17,0.58,
臺東縣,Ⅲ-27,永隆村,330,900,121.1428605,22.93850329,台9線,武陵,鹿野,329,246,339,940,丘陵區,10.7,12,南,3.4,,,,,2,,0.5,1871,24,115,0,130,228,2368,3052,25338,320,16,17,0.58,
臺東縣,Ⅲ-28,鹿鳴橋,341,100,121.0944798,22.89220597,台9線,鹿野,檳榔,339,940,351,750,丘陵區,11.8,13.2,北,3.4,,,,,2,,1.1,4223,46,161,0,136,580,5146,5814,60723,338,17,18,0.66,
臺東縣,Ⅲ-28,鹿鳴橋,341,100,121.0944798,22.89220597,台9線,鹿野,檳榔,339,940,351,750,丘陵區,11.8,13.2,南,3.4,,,,,2,,1.1,4357,58,163,0,113,615,5306,5893,62611,650,17,18,0.66,
臺東縣,Ⅲ-29,檳榔橋,352,0,121.09066,22.81035099,台9線,檳榔,卑南,351,750,388,821,丘陵區,5.6,12.5,北,3.4,,,,,2.1,,0.9,6364,49,182,0,104,1526,8225,8340,46060,620,17,18,0.6,
臺東縣,Ⅲ-29,檳榔橋,352,0,121.09066,22.81035099,台9線,檳榔,卑南,351,750,388,821,丘陵區,5.6,12.5,南,3.4,,,,,2.1,,0.4,6553,49,155,0,118,1386,8261,8448,46262,949,17,18,0.6,
臺東縣,Ⅲ-30,東方大鎮,360,400,121.1221739,22.76877687,台9線,卑南,新園,388,821,368,276,丘陵區,10.8,17.7,北,3.5,3.5,,,,,,1.2,4404,49,60,0,7,3863,8383,6975,90536,746,17,18,0.54,
臺東縣,Ⅲ-30,東方大鎮,360,400,121.1221739,22.76877687,台9線,卑南,新園,388,821,368,276,丘陵區,10.8,17.7,南,3.5,3.5,,,,,,2.3,4301,45,45,0,4,3546,7941,6629,85763,632,7,8,0.54,
臺東縣,Ⅲ-31,新園橋,368,400,121.0491729,22.76089885,台9線,新園,知本,368,276,375,500,丘陵區,7.3,18.8,北,3.4,4.4,,,,,,1.5,3423,31,121,0,154,1295,5024,5274,36675,504,7,8,0.54,
臺東縣,Ⅲ-31,新園橋,368,400,121.0491729,22.76089885,台9線,新園,知本,368,276,375,500,丘陵區,7.3,18.8,南,3.4,4.4,,,,,,1.5,3300,34,128,0,130,1162,4754,4971,34704,427,17,18,0.54,
臺東縣,Ⅲ-32,知本橋,375,850,121.0395789,22.70172622,台9線,知本,南太麻里,375,500,389,743,丘陵區,14.2,18.2,北,3.5,3.5,,,,,,1.5,2138,33,73,0,131,780,3155,3473,44801,354,10,11,0.5,分離車道
臺東縣,Ⅲ-32,知本橋,375,850,121.0395789,22.70172622,台9線,知本,南太麻里,375,500,389,743,丘陵區,14.2,18.2,南,3.5,3.5,,,,,,1.5,2335,46,97,0,114,742,3334,3636,47343,360,10,11,0.5,分離車道
臺東縣,Ⅲ-33,金崙大橋,398,400,120.9662365,22.52465541,台9線,南太麻里,大武,389,743,414,250,丘陵區,29.6,18.2,北,3.5,3.5,,,,,,2,3426,49,181,1,205,375,4237,5141,125415,655,10,11,0.52,
臺東縣,Ⅲ-33,金崙大橋,398,400,120.9662365,22.52465541,台9線,南太麻里,大武,389,743,414,250,丘陵區,29.6,18.2,南,3.5,3.5,,,,,,2,3445,29,174,0,202,286,4136,5033,122426,604,13,14,0.52,
臺東縣,Ⅲ-34,大武橋,418,200,120.906901,22.36070178,台9線,大武,壽卡,414,250,433,59,丘陵區,20.4,18,北,3.4,3.9,,,,,,1.5,4238,45,212,0,219,956,5670,6421,115668,743,9,10,0.53,
臺東縣,Ⅲ-34,大武橋,418,200,120.906901,22.36070178,台9線,大武,壽卡,414,250,433,59,丘陵區,20.4,18,南,3.4,3.9,,,,,,1.5,4264,47,232,0,191,883,5617,6307,114587,661,13,14,0.53,
屏東縣,Ⅲ-35,丹路,449,500,120.7233692,22.20773628,台9線,壽卡,楓港,433,59,453,346,山嶺區,20.3,18,北,3.4,4,,,,,,1.5,4004,50,195,0,273,232,4754,9129,96506,1355,9,10,0.53,
屏東縣,Ⅲ-35,丹路,449,500,120.7233692,22.20773628,台9線,壽卡,楓港,433,59,453,346,山嶺區,20.3,18,南,3.4,4,,,,,,1.5,4005,59,185,0,222,287,4758,8825,96587,1522,15,16,0.53,
臺東縣,Ⅲ-36,卑南鄉公所,2,300,121.0874612,22.78278551,台9乙線,賓朗,大南,0,0,9,24,丘陵區,9,18.2,北,3.4,4.5,,,,,,1.1,2385,6,168,0,97,1123,3779,3892,34011,429,7,8,0.52,
臺東縣,Ⅲ-36,卑南鄉公所,2,300,121.0874612,22.78278551,台9乙線,賓朗,大南,0,0,9,24,丘陵區,9,18.2,南,3.4,4.5,,,,,,1.1,2550,9,152,0,88,1181,3980,4021,35820,396,16,17,0.52,
屏東縣,Ⅲ-37,壽卡,12,0,120.833607,22.24376057,台9戊線,安朔,草埔,0,0,16,151,山嶺區,16.2,10.5,北,4.7,,,,,,,0.5,237,17,8,0,10,67,339,618,5492,221,9,10,0.59,
屏東縣,Ⅲ-37,壽卡,12,0,120.833607,22.24376057,台9戊線,安朔,草埔,0,0,16,151,山嶺區,16.2,10.5,南,4.8,,,,,,,0.5,163,11,13,0,26,88,301,635,4876,153,9,10,0.59,
臺東縣,Ⅲ-38,外環道便利商店,85,600,121.4578357,23.31718753,台11線,花東縣界,三仙,72,569,109,199,丘陵區,36.6,18.4,北,3.5,,,,,2.2,,2.9,1322,9,28,0,33,205,1597,1701,58450,147,10,11,0.64,
